feature_short,feature,support,lift
initially_payable_to_institution_3,initially_payable_to_institution_3,0.023778484177441245,-0.7963068790627902
manufactured_home_secured_property_type_2,manufactured_home_secured_property_type_2,0.023064147439102792,-0.5152383540918262
derived_dwelling_category_Singl…ts):Manufactured,derived_dwelling_category_Single Family (1-4 Units):Manufactured,0.035672190870776485,-0.422339419738635
construction_method_2,construction_method_2,0.03569004928923494,-0.4220261685298905
manufactured_home_secured_property_type_1,manufactured_home_secured_property_type_1,0.011875848274876777,-0.2654798113936172
open-end_line_of_credit_1,open-end_line_of_credit_1,0.10221265804700336,-0.24821567612752327
lien_status_2,lien_status_2,0.12289270662190156,-0.23320290463860938
loan_product_grouped_Subordinate_Lien,loan_product_grouped_Subordinate_Lien,0.12289270662190156,-0.23320290463860938
interest_only_payment_1,interest_only_payment_1,0.07042467319094221,-0.0865312989943231
derived_ethnicity_Hispanic or Latino,derived_ethnicity_Hispanic or Latino,0.19771055075362526,-0.06538826285829191
covid_phase_Post-Pandemic,covid_phase_Post-Pandemic,0.3231212943781699,-0.05648318547116893
applicant_race_observed_1,applicant_race_observed_1,0.01774233873848132,-0.053981765826755956
applicant_ethnicity_observed_1,applicant_ethnicity_observed_1,0.0174744624616044,-0.049756035935554666
applicant_sex_observed_1,applicant_sex_observed_1,0.018063790270733623,-0.04544182715967604
applicant_age_above_62_Yes,applicant_age_above_62_Yes,0.16992285163225945,-0.03871360528454526
submission_of_application_1111,submission_of_application_1111,0.01259018501321523,0.04482787271025945
initially_payable_to_institution_1111,initially_payable_to_institution_1111,0.01259018501321523,0.04482787271025945
interest_only_payment_1111,interest_only_payment_1111,0.013170583613115223,0.04640498534398951
balloon_payment_1111,balloon_payment_1111,0.013170583613115223,0.04640498534398951
applicant_race_observed_3,applicant_race_observed_3,0.0632009429244946,0.056193827351451175
applicant_ethnicity_observed_3,applicant_ethnicity_observed_3,0.06376348310593614,0.0574951094542242
balloon_payment_1,balloon_payment_1,0.015661832988070577,0.05774101147312771
applicant_sex_observed_3,applicant_sex_observed_3,0.06391527966283306,0.05840113993693041
submission_of_application_2,submission_of_application_2,0.22631080791485106,0.06638793253713093
loan_type_3,loan_type_3,0.0690852918065576,0.06901559734925578
co-applicant_ethnicity_observed_3,co-applicant_ethnicity_observed_3,0.03480605757554111,0.07593529641181218
co-applicant_race_observed_3,co-applicant_race_observed_3,0.03390420744338881,0.07675079805072049
co-applicant_sex_observed_3,co-applicant_sex_observed_3,0.03444888920637188,0.08134993794083867
aus_grouped_Standard_AUS,aus_grouped_Standard_AUS,0.6374205300378598,0.0929851389799633
initially_payable_to_institution_2,initially_payable_to_institution_2,0.061531180798628474,0.10515880080950701
